Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-10 00:00:00+05:30,1188.3001433034078,1190.9851627686044,1175.2714694468525,1179.23291015625,7195348,0.0,0.0
2021-05-11 00:00:00+05:30,1176.900195068442,1180.5094866973957,1166.5123728573353,1171.398193359375,6420988,0.0,0.0
2021-05-12 00:00:00+05:30,1170.826019540081,1170.826019540081,1157.1810546507043,1168.18505859375,5241898,0.0,0.0
2021-05-14 00:00:00+05:30,1168.0529416338368,1168.0529416338368,1154.3640257610134,1158.8536376953125,4824609,0.0,0.0
2021-05-17 00:00:00+05:30,1162.2868369308226,1175.183442268053,1162.2868369308226,1170.2977294921875,5017129,0.0,0.0
2021-05-18 00:00:00+05:30,1177.868509867654,1183.6786021012647,1170.385787645027,1179.629150390625,5620150,0.0,0.0
2021-05-19 00:00:00+05:30,1181.3896378465079,1194.9905411398668,1173.6868365565251,1176.988037109375,4435878,0.0,0.0
2021-05-20 00:00:00+05:30,1187.0238321383868,1187.6400133214966,1175.227519439831,1179.012939453125,4490092,0.0,0.0
2021-05-21 00:00:00+05:30,1186.2317998526325,1195.035004304229,1185.2194098485004,1192.39404296875,4969733,0.0,0.0
2021-05-24 00:00:00+05:30,1194.286553380612,1199.8765657788765,1184.1188109576708,1186.7158203125,4225371,0.0,0.0
2021-05-25 00:00:00+05:30,1195.4749115290554,1204.2781141176345,1192.3497316257221,1198.64404296875,4099340,0.0,0.0
2021-05-26 00:00:00+05:30,1204.1902075545224,1232.4484688115047,1199.0403550877556,1230.027587890625,6850024,0.0,0.0
2021-05-27 00:00:00+05:30,1236.1457809007707,1246.753684003248,1225.1417766288973,1234.42919921875,15365391,0.0,0.0
2021-05-28 00:00:00+05:30,1241.0316277474617,1244.7729892781776,1229.015233338966,1236.8941650390625,4261312,0.0,0.0
2021-05-31 00:00:00+05:30,1247.0825051236686,1247.0825051236686,1230.6208380920684,1240.1864013671875,4429904,15.0,0.0
2021-06-01 00:00:00+05:30,1245.7478927646762,1246.6377126880795,1226.7502591241341,1234.358154296875,4791325,0.0,0.0
2021-06-02 00:00:00+05:30,1228.6187219765782,1238.584660557052,1214.6040597487086,1226.7501220703125,9272276,0.0,0.0
2021-06-03 00:00:00+05:30,1235.1588218225315,1244.8578792030544,1225.3263783707234,1236.5380859375,5115645,0.0,0.0
2021-06-04 00:00:00+05:30,1240.364321328493,1242.9893550263232,1225.8603231227744,1232.9788818359375,4194328,0.0,0.0
2021-06-07 00:00:00+05:30,1237.7393209231227,1238.6291407081142,1225.5488333169712,1236.5380859375,5154576,0.0,0.0
2021-06-08 00:00:00+05:30,1242.1885920949892,1265.1014547357097,1241.788216584457,1257.27099609375,7360630,0.0,0.0
2021-06-09 00:00:00+05:30,1257.671259223617,1267.9931466228882,1249.8408019576455,1259.3619384765625,5394317,0.0,0.0
2021-06-10 00:00:00+05:30,1267.1034939893893,1271.5525933362621,1262.6543946425165,1267.3704833984375,3496575,0.0,0.0
2021-06-11 00:00:00+05:30,1272.531329937339,1291.6624564744493,1271.952925317914,1287.4803466796875,6140828,0.0,0.0
2021-06-14 00:00:00+05:30,1308.9248234623508,1314.26374184493,1293.3084437450773,1300.738525390625,7132294,0.0,0.0
2021-06-15 00:00:00+05:30,1302.6962549617203,1313.3740931171444,1301.806435115435,1311.5054931640625,5403104,0.0,0.0
2021-06-16 00:00:00+05:30,1310.43768641987,1325.3421693256153,1305.810666518263,1317.46728515625,7661710,0.0,0.0
2021-06-17 00:00:00+05:30,1312.5730616381588,1337.0876386411505,1312.5730616381588,1330.5474853515625,7677951,0.0,0.0
2021-06-18 00:00:00+05:30,1342.7381895981773,1348.7890081884066,1323.518102047729,1337.666259765625,13533974,0.0,0.0
2021-06-21 00:00:00+05:30,1328.500976041739,1339.8907130555006,1320.6705182672051,1334.9967041015625,5454052,0.0,0.0
2021-06-22 00:00:00+05:30,1343.360913550413,1353.8162962388503,1336.5983047696675,1345.2740478515625,6427862,0.0,0.0
2021-06-23 00:00:00+05:30,1356.9753804774398,1356.9753804774398,1333.5286472667522,1337.5328369140625,5529809,0.0,0.0
2021-06-24 00:00:00+05:30,1349.8566304803442,1395.9048049215821,1344.6956322155095,1387.406982421875,10785137,0.0,0.0
2021-06-25 00:00:00+05:30,1398.7969561671255,1404.1358758471526,1372.9921777136606,1400.7545166015625,9780240,0.0,0.0
2021-06-28 00:00:00+05:30,1399.5976766042195,1406.0488705757884,1388.6528489007708,1398.618896484375,5019178,0.0,0.0
2021-06-29 00:00:00+05:30,1389.0087116988348,1400.2649539245465,1387.4069926061065,1390.8328857421875,5913567,0.0,0.0
2021-06-30 00:00:00+05:30,1398.84139533289,1415.703438725539,1398.84139533289,1406.6273193359375,6058722,0.0,0.0
2021-07-01 00:00:00+05:30,1403.1124693019067,1403.1124693019067,1387.2737404607137,1388.4749755859375,4814317,0.0,0.0
2021-07-02 00:00:00+05:30,1387.1846993165,1396.5278083315611,1372.636165574309,1395.0596923828125,5166064,0.0,0.0
2021-07-05 00:00:00+05:30,1396.260666681678,1410.3642878359224,1389.0531485121203,1404.9808349609375,4058338,0.0,0.0
2021-07-06 00:00:00+05:30,1400.309343479352,1411.921535049465,1385.5383568645227,1390.076416015625,4089574,0.0,0.0
2021-07-07 00:00:00+05:30,1393.502462197475,1397.506651645048,1374.4602951004547,1392.212158203125,4797120,0.0,0.0
2021-07-08 00:00:00+05:30,1395.2374484422553,1402.356006852675,1378.3308722175086,1388.7862548828125,3326813,0.0,0.0
2021-07-09 00:00:00+05:30,1384.5596842120967,1396.9282018298825,1380.11058496977,1390.699462890625,3436594,0.0,0.0
2021-07-12 00:00:00+05:30,1397.5067165820512,1404.135831527272,1364.7613001298819,1377.3077392578125,4588982,0.0,0.0
2021-07-13 00:00:00+05:30,1384.9156755957686,1384.9156755957686,1367.0303178269412,1374.7271728515625,4456160,0.0,0.0
2021-07-14 00:00:00+05:30,1382.7798449678412,1408.4066963536977,1368.631689694828,1403.15673828125,5657716,0.0,0.0
2021-07-15 00:00:00+05:30,1386.2504222209864,1420.9088633348867,1384.5597427133494,1406.6273193359375,10021355,0.0,0.0
2021-07-16 00:00:00+05:30,1400.3539365234356,1401.1547960825774,1378.8647662261394,1384.0701904296875,6265593,0.0,0.0
2021-07-19 00:00:00+05:30,1374.5045422926073,1381.801129510059,1368.1424178936406,1371.8350830078125,5669162,0.0,0.0
2021-07-20 00:00:00+05:30,1368.8098758786696,1386.072293532128,1368.5428864837877,1379.2652587890625,5069939,0.0,0.0
2021-07-22 00:00:00+05:30,1389.3647090584504,1417.3494993598415,1389.3647090584504,1414.991455078125,7854575,0.0,0.0
