Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-10 00:00:00+05:30,2765.5322604784997,2781.5754158169793,2747.115640150612,2765.13671875,2137153,0.0,0.0
2021-05-11 00:00:00+05:30,2747.1153139481335,2749.8405381869234,2717.358475020094,2745.005615234375,2415625,0.0,0.0
2021-05-12 00:00:00+05:30,2742.7205374319688,2742.7205374319688,2699.294214770002,2714.238525390625,1978558,0.0,0.0
2021-05-14 00:00:00+05:30,2723.8197883357184,2723.8197883357184,2672.393789427331,2682.503173828125,2043935,0.0,0.0
2021-05-17 00:00:00+05:30,2685.579516158177,2703.336823881444,2668.8770576288784,2698.5458984375,2890462,0.0,0.0
2021-05-18 00:00:00+05:30,2725.1383427951523,2746.2361880296953,2705.7986513301544,2715.292724609375,2098538,0.0,0.0
2021-05-19 00:00:00+05:30,2711.073583762573,2740.962203038814,2696.217267675573,2709.3154296875,1986041,0.0,0.0
2021-05-20 00:00:00+05:30,2696.2168736987255,2715.2927997021698,2683.030720062466,2689.975341796875,2329027,0.0,0.0
2021-05-21 00:00:00+05:30,2690.854823863694,2714.7656764673193,2685.668355166535,2707.996826171875,1685566,0.0,0.0
2021-05-24 00:00:00+05:30,2708.875244140625,2729.5335495883955,2700.52401427876,2708.875244140625,1652260,0.0,0.0
2021-05-25 00:00:00+05:30,2731.4021286177344,2763.4245500803454,2722.656781161452,2750.83642578125,1841613,15.0,0.0
2021-05-26 00:00:00+05:30,2756.1362259082634,2795.888190705017,2741.8255617150744,2790.146240234375,1923753,0.0,0.0
2021-05-27 00:00:00+05:30,2793.194160468886,2842.4866454694256,2793.061740172022,2809.13916015625,5959785,0.0,0.0
2021-05-28 00:00:00+05:30,2817.530802754791,2825.0395068850357,2769.960867380018,2776.98388671875,1763701,0.0,0.0
2021-05-31 00:00:00+05:30,2782.6374019909617,2800.6142092520568,2763.733221463764,2790.72021484375,1652799,0.0,0.0
2021-06-01 00:00:00+05:30,2799.068610059735,2800.261039677647,2766.736923725916,2785.287841796875,1377441,0.0,0.0
2021-06-02 00:00:00+05:30,2783.388282396119,2790.9851945829346,2751.7191332311404,2764.48388671875,2240078,0.0,0.0
